"","ID","Year","Location","Latitude","Longitude","YieldTrt","YieldUntrt","Mildew","YellowRust","BrownRust","Septoria","gap","Month","temp","Date","rh","sun","rnf","Season"
"1","2002_Cirencester",2002,"Cirencester",51.680756,-1.9580083,9.64228571428571,6.91685714285714,NA,NA,1.02857142857143,21.1514285714286,0.282275268803146,"September",13.6469736099243,2001-09-16,81.1298294067383,117.051414489746,39.7003190448304,"2002"
"2","2002_Cirencester",2002,"Cirencester",51.680756,-1.9580083,9.64228571428571,6.91685714285714,NA,NA,1.02857142857143,21.1514285714286,0.282275268803146,"October",13.3362264633179,2001-10-16,87.0858612060547,87.5312576293945,95.1166250790412,"2002"
"3","2002_Cirencester",2002,"Cirencester",51.680756,-1.9580083,9.64228571428571,6.91685714285714,NA,NA,1.02857142857143,21.1514285714286,0.282275268803146,"November",7.0658016204834,2001-11-16,86.8228530883789,76.804443359375,40.7403336800526,"2002"
"4","2002_Cirencester",2002,"Cirencester",51.680756,-1.9580083,9.64228571428571,6.91685714285714,NA,NA,1.02857142857143,21.1514285714286,0.282275268803146,"December",3.44217300415039,2001-12-16,85.2175903320312,87.8785705566406,21.9764015653532,"2002"
"5","2002_Cirencester",2002,"Cirencester",51.680756,-1.9580083,9.64228571428571,6.91685714285714,NA,NA,1.02857142857143,21.1514285714286,0.282275268803146,"January",5.61045789718628,2002-01-16,89.5093002319336,27.6881065368652,78.5531520520799,"2002"
"6","2002_Cirencester",2002,"Cirencester",51.680756,-1.9580083,9.64228571428571,6.91685714285714,NA,NA,1.02857142857143,21.1514285714286,0.282275268803146,"February",6.92963027954102,2002-02-16,82.9043045043945,75.2400436401367,102.962115900904,"2002"
"7","2002_Cirencester",2002,"Cirencester",51.680756,-1.9580083,9.64228571428571,6.91685714285714,NA,NA,1.02857142857143,21.1514285714286,0.282275268803146,"March",7.66593265533447,2002-03-16,81.0312576293945,94.5677185058594,39.7977404832554,"2002"
"8","2002_Cirencester",2002,"Cirencester",51.680756,-1.9580083,9.64228571428571,6.91685714285714,NA,NA,1.02857142857143,21.1514285714286,0.282275268803146,"April",9.41565799713135,2002-04-16,73.7263412475586,197.429473876953,43.5683375296489,"2002"
"9","2002_Cirencester",2002,"Cirencester",51.680756,-1.9580083,9.64228571428571,6.91685714285714,NA,NA,1.02857142857143,21.1514285714286,0.282275268803146,"May",11.7932090759277,2002-05-16,78.6964111328125,186.118240356445,75.9131822995266,"2002"
"10","2002_Cirencester",2002,"Cirencester",51.680756,-1.9580083,9.64228571428571,6.91685714285714,NA,NA,1.02857142857143,21.1514285714286,0.282275268803146,"June",14.142240524292,2002-06-16,78.4576873779297,163.232223510742,54.6298522686357,"2002"
